scraped_at,league,team,player,games,pa,ab,runs,hits,doubles,triples,hr,tb,rbi,sb,cs,sh,sf,bb,ibb,hbp,so,gidp,avg,slg,obp,npb_id
2026-06-03 15:53:56,Central,阪神タイガース,石黒 佑弥,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,01105159
2026-06-03 15:53:56,Central,阪神タイガース,井坪 陽生,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,41145157
2026-06-03 15:53:56,Central,阪神タイガース,伊藤 将司,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,2.000,1.000,71375153
2026-06-03 15:53:56,Central,阪神タイガース,糸原 健斗,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,.000,.000,.000,81185134
2026-06-03 15:53:56,Central,阪神タイガース,伊原 陵人,3,5,4,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,.250,.250,.250,71375150
2026-06-03 15:53:56,Central,阪神タイガース,茨木 秀俊,3,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,.000,.000,.250,81185157
2026-06-03 15:53:56,Central,阪神タイガース,岩貞 祐太,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,51355139
2026-06-03 15:53:56,Central,阪神タイガース,岩崎 優,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,31335139
2026-06-03 15:53:56,Central,阪神タイガース,植田 海,7,2,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,.000,.000,1.000,01305130
2026-06-03 15:53:56,Central,阪神タイガース,梅野 隆太郎,8,25,23,3,5,0,0,1,8,1,1,0,0,0,1,0,1,6,1,.217,.348,.280,21325139
2026-06-03 15:53:56,Central,阪神タイガース,大竹 耕太郎,8,17,15,0,1,0,0,0,1,0,0,0,2,0,0,0,0,8,0,.067,.067,.067,41345136
2026-06-03 15:53:56,Central,阪神タイガース,大山 悠輔,51,211,180,14,49,8,1,6,77,30,0,0,0,3,26,2,2,38,9,.272,.428,.365,21325134
2026-06-03 15:53:56,Central,阪神タイガース,岡城 快生,11,25,24,5,5,2,0,0,7,1,0,0,0,0,0,0,1,9,0,.208,.292,.240,91595152
2026-06-03 15:53:56,Central,阪神タイガース,小野寺 暖,13,13,13,0,2,0,0,0,2,1,0,0,0,0,0,0,0,5,1,.154,.154,.154,71775151
2026-06-03 15:53:56,Central,阪神タイガース,小幡 竜平,32,96,86,8,20,1,1,0,23,4,1,1,3,0,6,2,1,34,1,.233,.267,.290,31535138
2026-06-03 15:53:56,Central,阪神タイガース,及川 雅貴,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,91795151
2026-06-03 15:53:56,Central,阪神タイガース,木浪 聖也,35,111,101,10,26,2,0,1,31,13,1,1,0,1,8,0,1,28,2,.257,.307,.315,31735138
2026-06-03 15:53:56,Central,阪神タイガース,木下 里都,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,41745150
2026-06-03 15:53:56,Central,阪神タイガース,桐敷 拓馬,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,01705155
2026-06-03 15:53:56,Central,阪神タイガース,工藤 泰成,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,81785150
2026-06-03 15:53:56,Central,阪神タイガース,熊谷 敬宥,22,33,29,7,6,1,0,0,7,1,1,0,2,0,2,0,0,7,0,.207,.241,.258,81585136
2026-06-03 15:53:56,Central,阪神タイガース,才木 浩人,10,19,13,1,1,0,0,0,1,1,0,0,5,0,1,0,0,8,0,.077,.077,.143,41745134
2026-06-03 15:53:56,Central,阪神タイガース,坂本 誠志郎,32,100,89,6,20,3,1,0,25,14,2,0,1,2,6,0,2,26,4,.225,.281,.283,11915132
2026-06-03 15:53:56,Central,阪神タイガース,佐藤 輝明,53,225,196,43,73,17,3,15,141,41,3,2,0,2,27,4,0,54,2,.372,.719,.444,41045153
2026-06-03 15:53:56,Central,阪神タイガース,椎葉 剛,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,21925159
2026-06-03 15:53:56,Central,阪神タイガース,島田 海吏,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,91995136
2026-06-03 15:53:56,Central,阪神タイガース,嶋村 麟士朗,17,20,20,1,6,0,0,1,9,4,0,0,0,0,0,0,0,6,0,.300,.450,.300,31235150
2026-06-03 15:53:56,Central,阪神タイガース,髙寺 望夢,43,133,111,13,26,3,0,2,35,7,7,0,1,1,19,2,1,27,0,.234,.315,.348,41245153
2026-06-03 15:53:56,Central,阪神タイガース,髙橋 遥人,8,22,18,1,3,0,0,0,3,0,0,0,4,0,0,0,0,10,0,.167,.167,.167,91095136
2026-06-03 15:53:56,Central,阪神タイガース,立石 正広,12,51,50,6,12,1,0,1,16,5,1,0,0,0,1,0,0,10,2,.240,.320,.255,91295152
2026-06-03 15:53:56,Central,阪神タイガース,近本 光司,24,110,96,14,24,4,0,0,28,5,6,1,0,1,12,0,1,19,1,.250,.292,.336,71075138
2026-06-03 15:53:56,Central,阪神タイガース,津田 淳哉,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,11415159
2026-06-03 15:53:56,Central,阪神タイガース,ディベイニー,4,7,6,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,.167,.167,.286,83585152
2026-06-03 15:53:56,Central,阪神タイガース,ドリス,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,03505132
2026-06-03 15:53:56,Central,阪神タイガース,富田 蓮,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,51255157
2026-06-03 15:53:56,Central,阪神タイガース,中川 勇斗,10,25,19,1,1,1,0,0,2,2,0,0,1,0,5,0,0,3,2,.053,.105,.250,51455155
2026-06-03 15:53:56,Central,阪神タイガース,中野 拓夢,53,215,193,20,52,8,0,0,60,13,3,2,7,2,11,0,2,39,3,.269,.311,.313,41445153
2026-06-03 15:53:56,Central,阪神タイガース,西 勇輝,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,.000,.000,.000,71275118
2026-06-03 15:53:56,Central,阪神タイガース,畠 世周,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,31635134
2026-06-03 15:53:56,Central,阪神タイガース,濱田 太貴,8,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,.000,.000,.125,91495138
2026-06-03 15:53:56,Central,阪神タイガース,早川 太貴,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,57955159
