scraped_at,league,team,player,games,wins,losses,saves,holds,hold_points,cg,sho,no_bb_games,win_pct,bf,ip,hits,hr,bb,ibb,hbp,so,wp,bk,runs,er,era,npb_id
2026-06-03 15:53:56,Central,阪神タイガース,石黒 佑弥,8,0,0,0,0,0,0,0,0,.000,60,13,16,2,4,0,1,18,0,0,8,8,5.54,01105159
2026-06-03 15:53:56,Central,阪神タイガース,伊藤 将司,1,0,0,0,0,0,0,0,0,.000,13,2.1,6,0,1,0,0,1,0,0,3,3,11.57,71375153
2026-06-03 15:53:56,Central,阪神タイガース,伊原 陵人,3,2,0,0,0,0,0,0,0,1.000,56,12.1,12,2,6,0,2,11,0,0,6,6,4.38,71375150
2026-06-03 15:53:56,Central,阪神タイガース,茨木 秀俊,3,1,0,0,0,0,0,0,0,1.000,63,12.2,18,2,8,1,0,10,0,0,9,9,6.39,81185157
2026-06-03 15:53:56,Central,阪神タイガース,岩貞 祐太,1,0,0,0,0,0,0,0,0,.000,7,0.2,3,0,1,0,0,0,0,0,3,1,13.50,51355139
2026-06-03 15:53:56,Central,阪神タイガース,岩崎 優,15,0,1,9,2,2,0,0,0,.000,55,14.2,13,0,2,0,0,14,0,0,2,2,1.23,31335139
2026-06-03 15:53:56,Central,阪神タイガース,大竹 耕太郎,8,2,4,0,0,0,0,0,0,.333,200,51,49,3,6,1,0,32,1,0,18,13,2.29,41345136
2026-06-03 15:53:56,Central,阪神タイガース,及川 雅貴,12,1,0,0,2,3,0,0,0,1.000,42,10.2,9,1,3,0,0,6,0,0,5,5,4.22,91795151
2026-06-03 15:53:56,Central,阪神タイガース,木下 里都,4,0,1,0,0,0,0,0,0,.000,37,7.1,12,2,3,0,0,4,0,0,5,5,6.14,41745150
2026-06-03 15:53:56,Central,阪神タイガース,桐敷 拓馬,18,0,2,1,7,7,0,0,0,.000,74,15.1,21,2,4,1,2,8,1,0,12,12,7.04,01705155
2026-06-03 15:53:56,Central,阪神タイガース,工藤 泰成,13,0,0,0,1,1,0,0,0,.000,56,13.1,12,0,5,0,0,14,0,0,3,3,2.03,81785150
