scraped_at,league,team,team_code,registration,number,player,position_group,position_group_en,birthdate,age,height_cm,weight_kg,throws,throws_en,bats,bats_en,notes
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,13,岩崎 優,投手,Pitcher,1991.06.19,34,185,92,左,L,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,14,岩貞 祐太,投手,Pitcher,1991.09.05,34,183,86,左,L,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,16,西 勇輝,投手,Pitcher,1990.11.10,35,181,83,右,R,右,R,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,18,伊原 陵人,投手,Pitcher,2000.08.07,25,170,75,左,L,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,19,下村 海翔,投手,Pitcher,2002.03.27,24,174,70,右,R,右,R,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,21,大竹 耕太郎,投手,Pitcher,1995.06.29,30,184,87,左,L,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,26,椎葉 剛,投手,Pitcher,2002.03.18,24,183,92,右,R,右,R,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,27,伊藤 将司,投手,Pitcher,1996.05.08,29,179,83,左,L,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,28,今朝丸 裕喜,投手,Pitcher,2006.06.02,19,188,75,右,R,右,R,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,29,髙橋 遥人,投手,Pitcher,1995.11.07,30,181,82,左,L,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,30,門別 啓人,投手,Pitcher,2004.07.10,21,183,86,左,L,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,35,才木 浩人,投手,Pitcher,1998.11.07,27,189,90,右,R,右,R,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,36,畠 世周,投手,Pitcher,1994.05.31,31,186,94,右,R,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,37,及川 雅貴,投手,Pitcher,2001.04.18,25,184,86,左,L,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,41,村上 頌樹,投手,Pitcher,1998.06.25,27,175,84,右,R,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,42,ルーカス,投手,Pitcher,1996.09.23,29,191,94,左,L,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,44,早瀬 朔,投手,Pitcher,2007.08.30,18,185,79,右,R,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,46,ラグズデール,投手,Pitcher,1998.05.25,27,203,106,右,R,右,R,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,47,桐敷 拓馬,投手,Pitcher,1999.06.20,26,179,92,左,L,左,L,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,48,茨木 秀俊,投手,Pitcher,2004.06.08,21,183,87,右,R,右,R,
2026-05-01 18:26:46,Central,阪神タイガース,t,registered,49,工藤 泰成,投手,Pitcher,2001.11.19,24,177,82,右,R,左,L,
