scraped_at,league,rank,team,team_en,games,wins,losses,ties,win_pct,games_behind,home_record,road_record,対ヤ,対神,対巨,対デ,対広,対中,interleague_record,対西,対ソ,対オ,対日,対ロ,対楽
2026-06-03 15:53:56,Central,1,東京ヤクルトスワローズ,Tokyo Yakult Swallows,54,32,21,1,.604,--,14-10(1),18-11,***,3-5,7-4,8-2,6-2,4-5,4-3(1),,,,,,
2026-06-03 15:53:56,Central,2,阪神タイガース,Hanshin Tigers,53,30,22,1,.577,1.5,14-13(1),16-9,5-3,***,7-4,3-5,4-3(1),9-2,2-5,,,,,,
2026-06-03 15:53:56,Central,3,読売ジャイアンツ,Yomiuri Giants,54,29,25,0,.537,3.5,16-14,13-11,4-7,4-7,***,7-2,4-3,5-3,5-3,,,,,,
2026-06-03 15:53:56,Central,4,横浜DeNAベイスターズ,Yokohama DeNA BayStars,54,23,29,2,.442,8.5,11-12(2),12-17,2-8,5-3,2-7,***,7-3(1),5-2(1),2-6,,,,,,
2026-06-03 15:53:56,Central,5,広島東洋カープ,Hiroshima Toyo Carp,51,19,30,2,.388,11.0,11-15,8-15(2),2-6,3-4(1),3-4,3-7(1),***,7-3,1-6,,,,,,
2026-06-03 15:53:56,Central,6,中日ドラゴンズ,Chunichi Dragons,54,19,34,1,.358,13.0,15-16,4-18(1),5-4,2-9,3-5,2-5(1),3-7,***,4-4,,,,,,
2026-06-03 15:53:56,Pacific,1,埼玉西武ライオンズ,Saitama Seibu Lions,55,32,21,2,.604,--,16-12(1),16-9(1),,,,,,,5-1(1),***,8-3,3-6,5-4,6-5,5-2(1)
2026-06-03 15:53:56,Pacific,2,福岡ソフトバンクホークス,Fukuoka SoftBank Hawks,53,30,23,0,.566,2.0,16-11,14-12,,,,,,,7-1,3-8,***,2-5,8-0,4-3,6-6
2026-06-03 15:53:56,Pacific,3,オリックス・バファローズ,ORIX Buffaloes,54,30,24,0,.556,2.5,20-5,10-19,,,,,,,4-4,6-3,5-2,***,5-7,7-4,3-4
2026-06-03 15:53:56,Pacific,4,北海道日本ハムファイターズ,Hokkaido Nippon-Ham Fighters,56,27,29,0,.482,6.5,14-11,13-18,,,,,,,4-3,4-5,0-8,7-5,***,5-4,7-4
2026-06-03 15:53:56,Pacific,5,千葉ロッテマリーンズ,Chiba Lotte Marines,54,26,28,0,.481,6.5,14-11,12-17,,,,,,,5-3,5-6,3-4,4-7,4-5,***,5-3
2026-06-03 15:53:56,Pacific,6,東北楽天ゴールデンイーグルス,Tohoku Rakuten Golden Eagles,54,21,32,1,.396,11.0,12-15,9-17(1),,,,,,,2-6,2-5(1),6-6,4-3,4-7,3-5,***
